"location","FDiv","FEve","FDis","Q","sp_rich","Latitude","Longitude","meanDist","nMST","eDep","eRDC","convHullCont","eVar"
335,0.939680649486178,0.647434902710159,2.79567212755704,3.13025973410294,1.05139787282594,49.07501,13.29165,3.68994916274762,0.703539705673786,0.628116005156756,0.78220029416503,51.1137799887391,0.466300913610919
336,0.758494391404082,0.491523594913009,3.90248903136742,4.68797202500126,1.62561386500445,49.02501,13.37498,3.57459744020356,0.704291629954105,0.59153705637362,0.785209879822479,42.3671337919323,0.491471319670346
337,0.925316454900623,0.75323186772358,3.13173130985712,3.44521164419476,1.10929977639214,49.07502,13.37498,3.77326782916484,0.708739339199027,0.659356973073933,0.859661473642623,47.6858777404529,0.460948511373879
338,0.937780646502669,0.756261866406343,2.79709012630369,3.11733352922306,0.96186619432227,49.02501,13.37498,3.79277522754302,0.71913219962307,0.643640877361515,0.828223715603186,44.1678285962008,0.449718985581688
339,0.819086344848658,0.707519370936049,3.7247466969311,4.80130481161798,2.23828906096712,49.07501,13.29165,3.34510616402469,0.701831193423985,0.534333129663577,0.809030739880814,48.4827404591198,0.49000858296715
340,0.718361995307587,0.669104601184731,3.55843763263857,4.56890432421278,2.70485129372963,51.215981,8.621357,2.95622388537189,0.716650964049736,0.360821986108704,0.753363465355347,31.7838487300759,0.45156980667223
341,0.742815571630411,0.515184662335696,4.77047929755602,5.77667321705695,1.99574129289046,51.045058,8.169853,3.20407772404027,0.732417032677011,0.591837918697724,0.824475618751459,39.5236204889275,0.361451710183264
342,0.751916614979299,0.491470364888341,3.46310184285947,3.81795676596452,1.37402991634506,48.061561,8.127651,3.32312404915355,0.728637485045399,0.715659794039569,0.894831213358811,23.8523801207794,0.299200437682551
343,0.827550847235463,0.740291095526604,3.77455361018999,4.73771417738513,2.27806748840135,48.143983,8.16473,3.20021545611235,0.715822984928607,0.500638407439959,0.804636772773824,47.8062498361445,0.466217213268069
344,0.729489559473042,0.776480176977787,2.20631614201333,3.06920444335944,2.99549497396588,50.530561,6.263323,2.65506241558932,0.727706015481215,0.201994876161891,0.550689878674298,33.5818983445132,0.372579925035428
345,0.873819337930588,0.60015751644275,1.69558754465155,1.94924715045908,1.38477438790271,51.434778,13.901411,2.58670422688448,0.725794584311423,0.475083476429439,0.82475942317441,16.3980863842507,0.267208845113765
346,0.656755577720032,0.630178395465478,2.49598422528024,3.22770467183726,1.96376700735038,49.07501,12.29165,2.92648682191816,0.751286395799259,0.63983707874753,0.803980051844305,30.6753450585105,0.287197973997992
347,0.787479486288826,0.664824750437001,4.78224220702081,5.6998446115206,1.89113459461007,49.22502,12.12497,3.27691673660243,0.663462896676688,0.541509416954932,0.822937118803751,46.9719358780851,0.423420245862093
349,0.897058488256267,0.492102225798827,2.41964375913508,2.82927870548828,1.64901683909598,52.77112,8.56184,2.24239855458423,0.74819523180947,0.428441135211313,0.745180528515903,27.0627973744452,0.21285121930507
350,0.822024203358226,0.59213528552379,2.40034371260524,3.12686950949204,2.28136880357041,52.86044,7.96631,2.76420617431893,0.704491929716473,0.361688808833805,0.694192705356563,40.464863552059,0.400847482056608
