"location","FDiv","FEve","FDis","Q","sp_rich","Latitude","Longitude","meanDist","nMST","eDep","eRDC","convHullCont","eVar"
20,0.747026474633685,0.525966645985502,3.26128922488629,4.19797047626578,2.95545417874819,45.38463,16.82275,2.46368819933668,0.751541017642581,0.39136673690515,0.613740038889542,32.0119461171269,0.294270781281331
21,0.927350000540311,0.713417558188813,2.31021740238465,3.12492932004428,2.52301058191087,45.728522,18.62171,2.68280957796873,0.732824299739351,0.346414952675102,0.578562870391057,27.1625594654787,0.386063463806419
22,0.900645691129432,0.66458762924491,2.70318133134326,3.59612090677041,2.83238630013468,45.728522,18.62171,2.69214294719366,0.747841904682304,0.436572535171307,0.629073450501177,26.6738702780927,0.343263456056786
23,0.820952143552048,0.732678530119157,2.65015973881895,3.38494179950249,2.09542111370638,45.163199,14.572594,3.1206357072919,0.726736261283481,0.414269689854588,0.744520021628485,43.3675858908823,0.46898456478746
24,0.691259008623588,0.672096184722467,2.21409003349369,2.81547984295651,1.60152608499934,45.143869,14.600913,2.92979677240704,0.746628172234271,0.611080357631434,0.860105981150524,25.7455436634628,0.316110826147141
25,0.849330771856004,0.706443394287527,3.92867824951655,4.89654555835898,2.07381012140256,45.071545,14.559371,2.9221092362539,0.733871907673761,0.617684779879648,0.764007298443332,27.2659367438928,0.304987020231326
26,0.815307667687412,0.735766327706581,3.40147917337076,4.58612356865849,2.75123295217276,45.941661,16.893412,2.80067954963725,0.723812632042205,0.470337159360876,0.749936631521292,22.7373759125757,0.361244399620148
27,0.881736542725591,0.660993096979357,2.58872564645666,2.98944739755012,1.76399341482216,45.304035,17.903955,2.49895348159406,0.74554304741429,0.533634606962216,0.739645403135936,21.8423515047531,0.230167143099203
28,0.792641179298816,0.71841292604165,3.36812908018864,4.41892945587271,3.54868119539386,50.6575,14.345,2.89911807138619,0.733378274975025,0.332844538892233,0.545988884516533,38.8068668394795,0.463130573201476
29,0.798994140873249,0.438114280540806,1.61754304386503,2.28811206919783,1.37351570982381,47.8269,-2.968271,2.91979788637311,0.717890518145173,0.577615604232005,0.802776765529709,36.9831168549063,0.321788065882922
30,0.872737121321641,0.748825368856182,3.87249259802583,4.79138861134659,2.59962467800605,48.3165,-4.097771,2.90761736496819,0.725120385309001,0.377143873983708,0.744505880012632,38.2785332640618,0.45433809407412
31,0.786482033954201,0.581608308900338,3.7859686229605,4.88415367090633,1.91053121108943,49.4118,0.688429,3.15594433905664,0.720912847538154,0.689396470488877,0.872082208432394,38.9837314150629,0.281681183928236
