"Land_system_names","Land_use","lon","lat","Landform_sha","BIO9_Mean_Temperature_Driest_Quarter","BIO1_Annual_Mean_Temperature","BIO10_Mean_Temperature_Warmest_Quarter","BIO11_Mean_Temperature_Coldest_Quarter","BIO12_Annual_Precipitation","BIO13_Precipitation_Wettest_Month","BIO14_Precipitation_Driest_Month","BIO15_Precipitation_Seasonality","BIO16_Precipitation_Wettest_Quarter","BIO17_Precipitation_Driest_Quarter","BIO18_Precipitation_Warmest_Quarter","BIO19_Precipitation_Coldest_Quarter","BIO2_Mean_Diurnal_Range","BIO3_Isothermality","BIO4_Temperature_Seasonality","BIO5_Max_Temperature_Warmest_Month","BIO6_Min_Temperature_Coldest_Month","BIO7_Temperature_Annual_Range","BIO8_Mean_Temperature_Wettest_Quarter","Top_Rao","Cec_Rao","Clay_Rao","N_Rao","pH_Rao","Sand_Rao","Silt_Rao","Soc_Rao","Hyd_feat_Sha","TWI_Rao","C.hull","F.eDep","F.eRDC","F.rich","F.disp","F.div","F.eve","F.dist","F.nMST","F.rao","Sp.rich","intensity_bi","intensity_ord","intensity_bi_N","intensity_ord_N"
"high-intensity forest",43,5051284,3644465,-2.32393393228902,0.177906066796875,-0.0206261322476838,0.101504319160799,-0.0283899677811817,-0.811381091130971,-1.02138976770936,-0.954347965858054,0.0530745663313491,-0.922097102556204,-0.883864222422592,-0.769752435143278,-0.576129618476639,-2.14502520881356,-2.28815566164463,0.302013023161447,-0.022264616430607,0.31621847892457,-0.511183907308852,0.10442796213454,-1.84001535953063,-0.969188145904099,-1.18708348984063,-0.271017892678098,1.29680708167711,0.634069998685908,0.583899934867714,-0.720159263432447,0.731401148235729,1.08620403333474,-0.241760301821143,0.458817098491446,0.632902170779543,-1.79522755943078,-0.235180313491256,-0.638758704179841,-0.80728876567477,-0.127951398693389,0.801635050051979,-0.37129662033789,-0.875141355998277,"high","high","1","4"
"medium-intensity forest",42,5101284,3630465,-1.12888519208814,0.162762448720066,-0.0811220585925717,0.139086438936385,-0.230520792073456,-0.841413508087842,-1.13310203843862,-0.914728993334784,-0.340722860874661,-0.96377584959042,-0.823494120954867,-0.722977681126436,-0.592116389580154,-1.11503813279348,-1.55781618006529,0.715644385177537,0.244870918803731,0.0995586704907447,0.165552371550562,0.930168833453253,-1.70924110977652,-0.690885486045528,-0.915613272084451,-0.36539930554964,-0.568045094749863,-0.709028828156647,-1.37904877029465,-0.46593938619525,0.906186519240537,0.888230073697846,0.648426569504984,0.918358757475488,1.23059955258725,0.138589007783285,-0.791374370933925,-2.05898160979786,-2.45136998810524,0.985324336797035,0.219388919771348,-1.10115788350735,-1.25849159434761,"low","medium","1","3"
"high-intensity forest",43,5298284,3622465,0.964010259244189,0.0184507583710843,-0.30308531352324,0.103970417058068,-0.643953039615385,-1.11095425993541,-1.15218295504812,-0.856992523202639,-0.170426922565328,-1.12482387088051,-0.935230353338295,-0.848663818736016,-0.95960142530493,-1.40491203954877,-2.26157370357172,1.38336886807423,0.163821817115694,-0.298274963447722,0.667316243549335,0.905839600204235,-1.33595944159773,1.20794696599707,-1.14565614517149,3.09789373565897,0.347559257314579,-0.156534765665751,-1.31844376370293,0.43025274914586,1.5186902075854,0.540382461233515,0.356618377519347,0.269771265010105,0.319038740540733,0.174380851123037,-0.559898621792687,0.902787276722013,-0.552075381152383,0.296433388874757,0.0763626710689007,-0.233262971698068,-0.643427125289926,"high","high","1","4"
"medium-intensity cropland",62,4556284,3617465,-0.619597406801804,0.762579622620279,0.0549714555768995,-0.121990591458135,0.410136779313564,-1.04104713928588,-1.4056495884412,-0.859380078795721,-0.763848706688326,-1.27303685090252,-0.858373126351995,-1.09080002702617,-0.591690782605509,-2.06708427052205,-1.45076708917641,-0.880170471214894,-0.182844521521754,0.727885160792068,-1.34725035206154,-1.59645680116346,-1.20508286803195,-0.22464226786447,0.262953033171487,-0.348521690666957,2.85600618780597,1.8830590716872,0.692382738787953,2.59745317322751,0.338635148784921,0.59519381714985,-0.736341698412194,0.0733073931012307,-0.816748220966822,-0.18330233371112,0.0199378589010679,-0.130631303945626,0.0814729262050949,-0.354485478377311,0.246338520147417,-0.158195722351547,-0.391633496868471,"low","medium","1","3"
"high-intensity forest",43,5245284,3605465,0.734011712541167,0.0571338540072799,-0.281972295662636,0.0512532146623071,-0.502516548459423,-0.930610027922108,-0.921500049593051,-0.754996366647296,0.00939984520513694,-0.896450134157068,-0.880558101584629,-0.668276620501518,-0.788388361790833,-1.50153652155324,-2.10890485346779,1.05615083574286,0.0861701285231109,-0.169582584347713,0.370362533629326,0.869315841397886,-1.50886662836748,-0.485986269532407,-1.23885603032925,0.376093680855249,-1.17317356661206,0.470324336983117,-0.00486278863391886,0.479086915327877,-0.776941098310429,-0.214825707511457,0.256249432411273,0.129559125759683,0.107511577931887,0.219744350491079,-0.0253566174611131,-0.785439906308289,-0.671718540687464,0.207356887201403,0.131739725733892,0.115972422964521,0.519655291761061,"high","high","1","4"
"high-intensity forest",43,5175284,3603465,-0.264838124774824,0.171525211483144,-0.0748228125015907,0.201142564809142,-0.281739120632131,-1.16751802446362,-1.16341943717672,-0.97850892726187,0.309891815786901,-1.06204735932637,-1.05658522007694,-0.800528898064517,-1.09070995486555,-1.21166261479796,-1.76585982720598,0.883590593405694,0.287898565330401,0.050569946786334,0.296050983160302,0.973162825372962,-1.5736659308402,-1.11753882757852,-1.461044917537,0.42671189398463,1.46875680922839,0.469951304476475,0.404259377427007,-0.101701507507268,-0.413572453009922,0.938515190596157,-0.664269369322668,1.83583084963946,0.970032416034994,-2.42214508509117,-3.25037220101075,-3.0693247078839,-0.126895974999744,-0.0873945987738822,1.01956754171591,-3.06680035823238,-1.72339016192417,"high","high","1","4"
"high-intensity forest",43,5285284,3601465,-0.377765442290387,0.0270913782321821,-0.292857440216382,0.0876934847970798,-0.611314876953348,-1.00850674632358,-0.947900033823191,-0.788460013157266,0.00871498423456591,-0.981961543070744,-0.883403576285169,-0.73753313560512,-0.87904853449046,-1.40491203954877,-2.15697285433361,1.29500104126319,0.151371991862199,-0.268988510565431,0.606497225441349,0.894562546017167,-1.63668392002862,1.30218467802917,-1.63690592834448,0.529783248432086,0.447257615322114,-0.395607720404102,-0.826305799569593,-0.350187998353268,-1.24971146265186,0.501552754343487,2.0216617302257,0.0691948951960339,0.455108358005788,1.39687181678755,0.589397634138996,0.459805797965525,0.325507573785997,1.20227069581082,-0.728224032374289,0.74389242688115,0.113958347466747,"high","high","1","4"
"medium-intensity forest",42,5189284,3596465,-2.37427695767695,0.166138755408664,-0.0806936856271879,0.199466670318776,-0.308075467398535,-1.19010405123787,-1.17202565284993,-1.00089519399063,0.352027375219956,-1.07467372144622,-1.07078874395411,-0.810297806415101,-1.12262635750281,-1.27262982246913,-1.82632075145025,0.934541885541639,0.280843885036323,0.025988554039273,0.324396957888354,0.972001724947119,-1.86358864235917,0.5396026233074,-0.922507603690887,-0.744228410484438,-1.16593392518738,-0.952222634347211,-0.802176715857337,-0.314671802836176,-0.907967826289749,0.217253428289766,-0.779133428963245,0.147506062315639,0.485128507025385,-0.899828392846995,-0.455875993128366,-0.408028516006044,-2.09809699631547,-0.919650824144592,1.33267439159412,-0.62507305983368,-0.410045041628509,"low","medium","1","3"
"medium-intensity forest",42,5283284,3584465,-0.036548588504413,0.0574669998685014,-0.250712752088598,0.151008675721944,-0.556915712706385,-1.07323315986797,-0.99856135167144,-0.847583435404883,0.101112679456511,-1.02864427457697,-0.942499531608667,-0.774471683453456,-0.945495317410426,-1.34628263614382,-2.15563555891917,1.33245464265582,0.214547434561563,-0.233784777326228,0.634688730089894,0.938428848799267,-1.60199683272833,0.545499365238967,-2.41921270435225,2.39744720372761,1.23460520890249,-0.518692170624132,-1.31529378316296,0.412214875177743,-1.24971146265186,0.299705628285106,-0.419081761027502,-1.45614547469013,-1.78460147725023,0.453780381058068,-0.779412643144017,-0.586467639031494,1.50362763617458,-0.417992844352907,1.26699199546798,-0.454860635184502,1.22792818262519,"low","medium","1","3"
"medium-intensity forest",42,5282284,3583465,-0.958341444117903,0.0608500536777076,-0.247212353604786,0.154346170140298,-0.556915712706385,-1.07112688423419,-0.996306745728277,-0.84694095365022,0.107083018817374,-1.02547686434356,-0.942720877571159,-0.771984702870028,-0.943803077114815,-1.36426723443465,-2.15725548492895,1.32536794959836,0.206009765244999,-0.228443600468597,0.615479374508733,0.940741146030793,-1.69181245246005,0.60190030654387,-2.15604572815271,0.6079119038622,0.0301144762659237,-1.2364827526011,-1.9242148665406,0.725832034549355,-0.66688129008265,0.489492374046788,-0.349746032084381,0.0756207067849231,0.570450824543922,-0.362560465702256,-0.265314252909944,-1.16184181915934,0.0325342327805832,-0.276636023520983,0.467209732810404,-0.587094537292062,-0.794568577617571,"low","medium","1","3"
