"Land_system_names","Land_use","lon","lat","BIO1_Annual_Mean_Temperature","BIO10_Mean_Temperature_Warmest_Quarter","BIO11_Mean_Temperature_Coldest_Quarter","BIO12_Annual_Precipitation","BIO13_Precipitation_Wettest_Month","BIO14_Precipitation_Driest_Month","BIO15_Precipitation_Seasonality","BIO16_Precipitation_Wettest_Quarter","BIO17_Precipitation_Driest_Quarter","BIO18_Precipitation_Warmest_Quarter","BIO19_Precipitation_Coldest_Quarter","BIO2_Mean_Diurnal_Range","BIO3_Isothermality","BIO4_Temperature_Seasonality","BIO5_Max_Temperature_Warmest_Month","BIO6_Min_Temperature_Coldest_Month","BIO7_Temperature_Annual_Range","BIO8_Mean_Temperature_Wettest_Quarter","BIO9_Mean_Temperature_Driest_Quarter","Top_Rao","Cec_Rao","Clay_Rao","N_Rao","pH_Rao","Sand_Rao","Silt_Rao","Soc_Rao","Hyd_feat_Sha","Landform_sha","TWI_Rao","C.hull","F.eDep","F.eRDC","F.rich","F.disp","F.div","F.eve","F.dist","F.nMST","F.rao","Sp.rich","intensity_bi","intensity_ord","intensity_bi_N","intensity_ord_N"
"low-intensity forest",41,5054284,2950465,-1.42841372466217,-1.33125715871229,-1.40446566356538,1.00182631451777,1.38970082080375,0.895164566213355,0.970797587964551,1.33180167997135,0.696093114934476,1.7782670493176,0.222687658903894,0.245222878991094,-0.167827677602555,0.376166096347673,-1.34909988082125,-1.34993732705941,0.319463217249647,0.0826607329661134,-1.29115652356092,0.98763088624401,1.33828754126057,1.75506138985291,-0.545157596882766,-1.24915821687617,1.90360510240306,0.0603730862258694,-0.442167341583975,1.12901349633179,0.557925934925137,1.15881536010079,0.707564551829682,1.9237781135401,0.996297025336329,-0.0807073083778382,2.51724522176239,0.403030528152413,-3.0451693994636,2.72423312606252,-0.168367847493723,2.43208414856524,-0.930071951729058,"low","low","0","2"
"low-intensity forest",41,5052284,2949465,-1.887308635685,-1.8544454406654,-1.71698092140866,1.47688023431357,1.75028556400654,1.35108583308197,0.955273439803065,1.67870868697935,1.14508603482213,2.13286895287439,0.506619168357434,0.155103262272738,0.00536899733486446,0.144674984307004,-1.8518963384097,-1.65584560373852,0.154106349063718,-0.253764266715016,-1.45025567974416,1.36824747660994,2.22253579988302,-0.482956837576519,2.18095837646078,-0.894656512961593,0.709882109127221,0.844040871313447,0.41202749528642,0.928434298077757,-0.120003642650128,0.808652523811241,0.944412816744357,1.82741329867831,0.549518544425947,0.10961541368947,1.44767114252169,-0.306653368646889,0.027935217396685,2.60865136631871,-0.104089278967041,1.0943301308383,-1.1431588002658,"low","low","0","2"
"bare and rocks",90,5052284,2947465,-2.32755306090955,-2.36333803083394,-2.02749980958927,1.73840950273776,1.91937009045029,1.61021378597413,0.927214645519165,1.84803164961438,1.40123116620783,2.30594774244426,0.658264660406613,0.203744733492287,0.213653714406268,-0.0945704870957248,-2.32937363994125,-1.96493545144989,0.0238878458503035,-0.580996728508814,-1.60833849921812,1.85116674786104,1.53429116091661,0.0161443596953792,0.751000789750081,-0.810659684295887,0.573234899261592,0.0858203282236484,-0.190427544403098,0.442657414788996,0.572804497836871,1.0931598282965,-0.791871381625076,-2.37871879636196,-2.68662193717653,-0.518988343883864,-1.16909501901032,-0.403396737532633,1.05554689121646,-1.37044174532148,0.900863800419038,-1.05084710146116,0.8375018611833,"low","none","0","1"
"water body",11,5053284,2947465,-2.28283679922004,-2.31087262925114,-1.98980213100439,1.6520868633585,1.85456551633757,1.53989611463701,0.920392779005654,1.7862308736177,1.32664635124987,2.24277613631639,0.614810516925666,0.231209692344757,0.227310750534997,-0.0837989698134885,-2.27869666645474,-1.92293165446874,0.0244389785093338,-0.547259977668612,-1.58914689592069,1.73587687228428,1.25327577978726,0.0830676709002625,0.808136530608069,-0.84671194432319,0.13952850935163,-0.0420728097854497,-0.42524704006925,1.87820057698648,0.65215965314489,1.85123783056402,-1.59001052048879,-0.730967687504205,-0.3461349620513,-0.8977437468355,-1.55520342800788,-0.624038757134901,-0.901634016446682,-1.39353552774734,1.26625804209958,-1.50830970303262,-0.00585011714206414,"low","none","0","1"
"forest/shrubs and bare mosaics",74,5047284,2945465,-2.0630618643559,-2.02683776227574,-1.87655659230531,1.5391630955308,1.79467940629717,1.33308239716236,0.97656963640854,1.7294333990894,1.18769339119478,2.18471881208227,0.532325600984455,0.147296880155504,-0.0484276697366628,0.139759915476798,-2.02632179579621,-1.79230505160339,0.140499956714209,-0.364617450441307,-1.53149444793181,1.55117175018449,2.12180757200649,0.894880415517136,1.30339149743732,-0.234485274404255,1.67758950362635,1.03297184914859,0.289564552944691,0.555673921106105,0.600693285214518,-0.339710898171064,-0.278149082655725,-2.00080106959728,-2.75043899324668,-0.314120549960564,-1.22858754215999,-1.00404183828998,0.200910888053121,-1.30524061720087,1.01089078737317,-1.08126102631538,0.926336158490374,"low","none","0","1"
"shrub",80,5059284,2944465,-2.16996007290566,-2.20999280392493,-1.8956466461846,1.38258396392718,1.63194779544894,1.37058473063589,0.848743077924329,1.57438894487685,1.14603050830496,2.02623524879573,0.507191163749287,0.252985920316711,0.248873324268146,-0.0982648586276658,-2.18022817186161,-1.84029852117363,0.0240585506561985,-0.482391370373915,-1.5412130501039,1.22295112831026,0.725114931317877,-0.527408383425515,0.726480328240851,-1.01814543582276,0.980881549253766,1.18552417665992,0.65044016072648,0.787585942280887,0.290944107227296,-0.473453507229124,-1.02312011024132,0.330520627866703,1.44552345504783,-0.184781501313087,-0.396287782464744,0.5621827553458,0.309136629560952,-0.220991095457107,0.692745345470203,-0.680147218439407,-0.787034159913533,"low","none","0","1"
"low-intensity forest",41,5052284,2942465,-2.08785428711862,-2.06596716611511,-1.88626944402547,1.30482961255219,1.57708867173977,1.18826665157268,0.890323666384401,1.52939482020151,1.03143705193929,1.9802430896971,0.437057347724684,0.160662978703801,0.0484306557232083,0.088892477493496,-2.05402784940816,-1.81138877113273,0.134600276690639,-0.389778774057042,-1.53643918734542,1.1539995862273,0.825908852419032,0.336927991458872,2.07571455861895,-0.874161156338145,2.16609977241051,2.01222531686963,1.01118930502041,0.509474972744449,0.442943579247736,-0.450352466648948,-0.655488088560158,1.52189277884527,1.32436343278922,-0.8253119058258,-1.30539598514102,-1.43631338488347,-0.591761362026637,0.849967908226822,0.84447177652341,-1.50891787979832,-1.59643737561191,"low","low","0","2"
"medium-intensity forest",42,5053284,2940465,-1.50793198367949,-1.39609141832461,-1.49605721498876,0.743846715846655,1.1157695633789,0.655557800953691,0.862095981962418,1.08886245058288,0.530041644845337,1.52993907827784,0.112271102811269,0.172053543494873,-0.292305281851458,0.437388710170952,-1.39699500429897,-1.42878821006406,0.375406230440052,0.0409704533444523,-1.28146590509682,0.155658191107707,0.181633222020236,0.0249775442673978,0.425513747594472,-0.148424021327575,-0.828240609964277,-0.111096740235035,-0.0384451910466584,1.65530544662209,0.510773358616944,1.56429879945458,-1.25299812896877,-0.22591669156022,0.773235428603176,-1.20903037801148,-1.78575780944607,-1.61123869112965,-0.0602839454451724,-1.59622829678651,1.55053479736108,-1.58262359607644,0.554937192835221,"low","medium","1","3"
"medium-intensity forest",42,3282284,2900465,0.857923924960762,-0.139738371992504,1.76212717548486,0.0116992848772125,0.265911734175072,-0.0707814883385583,0.57020814818608,0.30565196050049,-0.235467576979502,-0.720957121314697,1.06916094546712,-2.22512312079391,1.99173342255653,-3.07645269278357,-0.365507560872353,1.85380272223691,-3.11456390596727,-0.673504250150616,1.51280039478732,-0.185348450247533,-0.109098059761023,0.102585787074585,-0.802745228612296,-0.607356367916914,-0.846655338595979,-0.535933351243047,-1.15790441784554,-0.00388456447653986,0.156113328478598,-0.756744948402306,0.187311743583678,-0.539116171645335,0.219945225961383,0.70514106293919,0.850213340444548,0.843064481960754,0.820214765705957,-0.0688454437855426,0.0979395655704431,0.783913171142925,0.47933492711632,"low","medium","1","3"
"forest/shrubs and grassland mosaics",72,4494284,2893465,0.00870298878055725,0.0754660364096624,-0.0699006670347531,-0.737606463741293,-0.648158545610894,-0.561098951759305,-0.258404387755162,-0.672074642510879,-0.657947420765985,-0.270058133195019,-0.528977647463751,0.147296880155504,-0.00247687583482861,0.21532325217433,0.160718699288118,0.0314630666268527,0.148508450750547,0.987223902277993,-0.0666980275027536,-0.139224748865737,-0.478951105122909,-1.08341171860559,0.315655110898142,1.11640071917158,-0.828434601381051,-0.780462407761393,-0.877086972672301,0.889261446374364,0.740904906884901,0.251188525718162,-1.81022525124749,1.53262647763565,1.23024152089031,-2.64078368984789,-1.5574676018986,-2.3423670532389,-0.492252453248929,-1.40547253013639,1.71287547221214,-1.36398006801455,-1.11621464760365,"low","none","0","1"
"medium-intensity forest",42,4533284,2875465,-0.554863530168311,-0.576737141062582,-0.50350026694666,0.286025127795242,0.298681556153289,0.509989692842221,-0.639738286282462,0.212409495791848,0.733364412217693,0.634045135900079,0.663526720578862,0.351431000726257,0.431116045428175,0.000387641376390407,-0.487955961359187,-0.414719245972022,0.00948157955321021,0.56783864205384,-0.34750459726274,0.457442313286653,1.35100448989509,-0.44141192407477,1.58633433677121,-0.50817508551125,-0.476120565041275,-0.30096150042081,0.568033010370173,-1.16702195819692,0.351257296204805,-1.78230825937327,-0.876289077400324,2.66128142927143,1.71791106380503,-2.03376387150065,1.02767880249768,-0.0133262825151206,-1.90893010976941,2.49982553230941,1.07939743641684,1.02960773827751,-0.946597640713354,"low","medium","1","3"
"forest/shrubs and cropland mosaics",71,5530284,2874465,0.205953025919132,0.735369103229266,-0.399729405900899,-1.21186172518971,-0.518260319487361,-1.58485446979765,2.0577404856542,-0.697004875262332,-1.66293120198295,-0.295541354378773,-2.05894243766058,0.675740065110745,-0.997799741274496,1.78267684380292,0.75137502135624,-0.398779158725186,1.48155508280959,1.41156041114548,-0.779652887276712,-1.06533959123611,-0.159921422171775,0.0162375170303204,-0.921732353263089,0.900972875989534,-0.824196974083931,-0.472090916598295,-0.672954906533864,0.842314970195403,-0.516543497696167,0.32413923739494,-0.481754554955401,-0.798273130530141,-1.09600201880321,-0.00806981356921969,-0.0932132113109015,0.168270526984518,1.13420304933808,-0.574077656471212,0.953644338873047,0.0331412905624154,1.90234173221019,"low","low","0","2"
