"loc","Latitude","Longitude"
165,42.680401,24.95932
166,42.6626,23.14169
167,42.79386,26.54131
168,42.2312,24.7244
169,41.39181,26.13308
170,41.49582,23.07091
171,42.15624,23.40681
172,42.15624,23.40681
173,42.15624,23.40681
174,42.15624,23.40681
175,42.15624,23.40681
176,42.15624,23.40681
177,42.15624,23.40681
178,42.15624,23.40681
179,42.7893,24.5193
180,42.5573,23.54757
181,42.10672,24.39964
182,42.10672,24.39964
183,42.10672,24.39964
184,42.10672,24.39964
185,42.10672,24.39964
186,42.03685,25.0445
187,42.27512,24.54647
188,43.3257,27.8665
189,41.5075,23.4993
190,41.259,23.2004
191,42.5768,25.4214
192,42.76359,25.44241
193,42.76359,25.44241
194,42.76359,25.44241
195,42.76359,25.44241
196,42.76359,25.44241
197,42.21013,26.58035
198,42.05763,27.78089
199,42.73588,25.39356
200,42.12112,23.12579
201,42.25951,26.57165
202,42.25951,26.57165
203,42.14795,26.54046
204,42.13696,25.13442
205,42.13696,25.13442
206,42.13696,25.13442
207,42.13696,25.13442
208,42.13696,25.13442
209,42.13696,25.13442
210,42.13696,25.13442
211,42.13696,25.13442
212,42.13696,25.13442
213,42.13696,25.13442
214,42.13696,25.13442
215,42.14372,25.20935
216,42.14372,25.20935
217,42.14372,25.20935
218,42.14372,25.20935
219,42.14372,25.20935
220,42.43687,23.80968
221,42.43687,23.80968
222,42.78343,24.6799
223,42.6626,23.14169
224,42.22752,24.74878
225,41.40488,23.31926
226,42.07504,23.08822
227,41.39796,23.20646
228,41.39796,23.20646
229,42.34791,23.52373
230,42.60092,24.77486
231,42.35643,24.73133
232,44.03942,22.77803
233,43.35079,24.47733
234,42.76558,24.11249
235,42.75471,24.3547
236,42.11192,23.55666
237,42.11192,23.55666
238,42.56597,23.50153
239,42.568,23.5434
240,42.5475,23.55
241,42.88954,24.71314
242,42.72417,24.45333
243,42.42637,25.63499
244,42.32067,26.55889
245,42.61661,26.82356
246,41.69978,23.55025
247,43.29895,-1.923249
248,43.306726,-1.799825
249,43.31612,-1.836623
250,43.131387,-2.417932
251,43.159142,-1.507527
252,43.158981,-1.495231
253,43.333999,-1.823958
254,43.278342,-1.677141
255,42.941293,-2.260387
256,43.184174,-2.208265
257,43.17517,-2.208381
258,42.913676,-2.17497
259,43.174819,-2.159172
260,43.201073,-2.060354
261,43.273896,-2.157809
262,43.246876,-2.158181
263,43.175579,-2.269881
264,43.306982,-1.824467
265,43.297051,-1.738375
266,43.193517,-2.25736
267,43.164732,-2.024008
268,43.184583,-2.269774
269,43.1755,-2.257579
270,43.183639,-2.13444
271,43.165985,-2.183896
272,43.299836,-2.021849
273,43.050426,-1.461053
274,43.308953,-2.034033
275,43.370027,-1.823262
276,43.375936,-4.452224
277,43.375936,-4.452224
278,43.375936,-4.452224
279,43.375936,-4.452224
280,42.160198,-1.591709
281,42.070263,-1.605775
282,42.276526,-1.528487
283,42.222167,-1.505517
284,42.205084,-1.578599
285,42.205084,-1.578599
286,42.230374,-1.444746
287,42.230374,-1.444746
288,42.25223,-1.759363
289,41.987019,-1.438601
290,42.039348,-1.316517
291,42.387869,-1.805288
292,42.06655,-1.327885
293,42.06655,-1.327885
294,42.075902,-1.351816
295,42.06655,-1.327885
296,42.073313,-1.883712
297,42.054936,-1.847791
298,42.030521,-1.32883
299,42.330415,-1.515106
300,42.276526,-1.528487
301,42.267523,-1.528697
302,42.048536,-1.328358
303,42.048536,-1.328358
304,41.987019,-1.438601
305,43.086917,-3.462566
306,43.131209,-3.62273
307,43.122327,-3.598054
308,43.105291,-3.3644
309,41.825968,-2.658629
310,41.834901,-2.634494
311,41.799093,-2.718943
312,43.140582,-2.454734
313,43.149341,-2.405463
314,42.331024,-3.092856
315,42.421153,-2.97145
316,42.376108,-2.983617
317,42.340067,-3.007893
318,42.853879,-1.588312
319,43.042391,-1.534902
320,43.23317,-1.665804
321,43.027,-1.756182
322,42.87361,-1.734769
323,42.798824,-3.411499
324,42.349647,-1.611769
325,42.990148,-1.683328
326,43.161687,-1.716563
327,43.025146,-1.596679
328,43.053884,-1.74336
329,43.053884,-1.74336
330,42.987126,-2.394763
331,42.668273,-1.202058
332,42.685703,-1.164937
333,42.62267,-1.16679
334,42.639069,-1.068746
335,42.686284,-1.201539
336,42.632251,-1.203096
337,42.600928,-2.691024
338,42.151625,-1.628196
339,42.133169,-1.592296
340,41.968672,-1.414913
341,42.976664,-1.340259
342,43.375541,-3.366026
343,43.366178,-3.464707
344,43.402152,-3.477331
345,43.393297,-3.440219
346,43.27547,-3.599552
347,43.393597,-3.353787
348,43.240014,-3.476051
349,43.375579,-3.353683
350,43.267404,-3.3777
351,43.141115,-3.426096
352,43.204949,-2.983434
353,43.06974,-2.860646
354,43.23182,-3.192768
355,43.277002,-3.069683
356,42.087109,-2.60888
357,42.213796,-2.826161
358,42.203913,-2.523379
359,43.287635,-1.701592
360,43.360897,-1.811098
361,43.225537,-1.789093
362,43.324346,-1.762477
363,43.324479,-1.774808
364,43.324996,-1.824132
365,43.216664,-1.80158
366,43.198389,-1.777322
367,43.198649,-1.801933
368,43.234276,-1.764302
369,43.225667,-1.801404
370,43.198649,-1.801933
371,43.234807,-1.81354
372,43.161687,-1.716563
373,43.225667,-1.801404
374,43.198389,-1.777322
375,43.216403,-1.776962
376,43.198389,-1.777322
377,43.198389,-1.777322
378,43.199277,-1.863462
379,43.234548,-1.788915
380,43.225537,-1.789093
381,43.234807,-1.81354
382,43.17176,-1.814762
383,43.19852,-1.789628
384,43.19852,-1.789628
385,43.216403,-1.776962
386,43.180506,-1.789983
387,43.189638,-1.802109
388,43.225537,-1.789093
389,43.225667,-1.801404
390,43.270035,-1.738934
391,41.511985,-0.551429
392,41.511985,-0.551429
393,41.569223,-0.705162
394,41.830559,-1.213622
395,41.830559,-1.213622
396,42.024477,-1.546381
397,43.222812,-2.811058
398,43.376072,-2.909335
399,43.249458,-2.650847
400,43.059675,-2.49228
401,43.349086,-2.995733
402,43.304042,-2.971077
403,43.240831,-2.811002
404,42.606101,-0.326217
405,41.821369,-1.201837
406,42.696453,-3.960158
407,43.009859,-1.155326
408,43.005234,-1.449913
409,42.850591,-1.34364
410,42.629025,-1.008083
411,43.27017,-1.751253
412,43.25229,-1.763938
413,43.252423,-1.776254
414,43.252554,-1.788558
415,43.25229,-1.763938
416,43.243288,-1.76412
417,43.296915,-1.72605
418,43.215581,-1.703122
419,43.150829,-3.13102
420,43.087738,-3.155446
421,42.997757,-2.983477
422,42.962103,-1.598113
423,41.904262,-0.789654
424,42.109172,-1.169546
425,41.859002,-0.779155
426,41.942539,-0.908948
427,41.810431,-1.731786
428,42.24266,-1.068742
429,43.357728,-2.711929
430,43.43528,-3.947085
431,43.43528,-3.947085
432,43.446202,-3.675398
433,43.437125,-3.687653
434,43.437125,-3.687653
435,42.974927,-1.953422
436,42.005647,-2.512774
437,42.014704,-2.524783
438,42.289282,-1.855659
439,43.273617,-2.120855
440,43.093658,-2.147996
441,43.240284,-2.601633
442,43.249331,-2.613892
443,43.021215,-2.099908
444,42.885283,-2.003921
445,42.609712,-2.617843
446,43.357636,-3.328898
447,42.850531,-2.163572
448,42.967549,-2.149726
449,42.967549,-2.149726
450,42.691149,-1.543175
451,43.055872,-1.939779
452,43.216664,-1.80158
453,43.394055,-2.872265
454,42.681142,-2.458745
455,43.329692,-2.440723
456,43.357103,-2.52684
457,43.068743,-2.504488
458,43.352388,-1.860608
459,43.295032,-3.045048
460,43.101888,-2.049572
461,43.246108,-2.059662
462,43.268009,-2.995739
463,43.140643,-1.471088
464,42.086458,-4.543275
465,42.024324,-1.534306
466,51.119412,3.206033
467,50.808554,4.448823
468,50.946215,4.789827
469,51.170065,4.007966
470,50.76231,4.61152
471,50.76912,4.6187
472,50.576139,-3.961697
473,50.681088,-3.692866
474,51.370144,-2.291592
475,50.993266,-1.434282
476,51.039439,0.109652
477,51.253233,0.021973
478,52.77711,0.508546
479,52.048657,0.291046
480,52.138476,1.472254
481,53.261218,-1.077989
482,52.167103,0.257644
483,53.24126,-2.68176
484,53.292644,-2.032972
485,53.229461,-2.251635
486,53.28673,-2.353974
487,53.283456,-2.512939
488,52.893214,-2.84574
489,54.345223,-3.033726
490,54.521148,-3.158675
491,53.790843,-2.613223
492,53.885564,-2.7135
493,54.165468,-4.669902
494,53.928773,-2.842168
495,53.424779,-2.034579
496,53.373546,-2.025519
497,53.530163,-1.229058
498,54.110138,-2.327299
499,54.095414,-2.435747
500,54.525566,-0.743786
501,51.962924,-3.042075
502,52.727387,-3.20533
503,52.704675,-3.228385
504,52.563531,-3.464918
505,52.562596,-3.467838
506,52.527578,-3.730548
507,52.419588,-4.071915
508,52.432007,-4.029836
509,52.435702,-4.024121
510,52.379217,-3.849628
511,52.379217,-3.849628
512,52.379217,-3.849628
513,51.65339,-4.956323
514,53.223636,-4.005664
515,52.935183,-3.996762
516,52.943531,-4.137055
517,52.847809,-4.524439
518,52.824679,-4.512706
519,52.814926,-4.506207
520,56.481817,-5.956364
521,56.468269,-5.958203
522,56.39807,-5.757947
523,56.401705,-5.756684
524,56.478387,-5.951132
525,56.590141,-6.217069
526,56.590141,-6.217069
527,56.478387,-5.951132
528,56.475749,-5.949233
529,56.416655,-5.226133
530,55.846421,-2.723435
531,56.53599,-3.557701
532,56.639664,-5.76728
533,56.61671,-5.78293
534,56.603813,-5.793051
535,57.690916,-5.669382
536,57.692297,-5.652733
537,57.095686,-5.384031
538,57.658147,-5.493314
539,58.28629,-4.850214
540,58.118782,-5.24105
541,57.099444,-5.960899
542,56.709948,-5.702378
543,58.242186,-5.047779
544,57.157331,-5.804935
545,56.525211,-5.746138
546,42.62945,26.28969
547,42.64554,26.43524
548,42.65217,26.4528
549,45.592099,15.614757
550,45.321749,14.80988
551,44.81522,15.042016
552,45.800261,15.611619
553,45.789367,15.611169
554,45.77511,15.593931
555,45.75609,15.636177
556,45.99402,17.160859
557,45.802692,18.668777
558,42.653644,18.118814
559,45.039268,14.15971
560,45.047743,14.158126
561,45.386544,14.887712
562,45.059402,14.667798
563,45.05932,14.663819
564,44.966566,14.740546
565,45.054283,14.70553
566,45.054121,14.7054
567,45.009497,14.570589
568,45.093213,14.66638
569,44.381633,15.12503
570,45.76513,15.62501
571,45.81111,15.66936
572,45.82376,15.61695
573,45.77452,15.6874
574,46.17311,15.88786
575,43.32903,17.05252
576,46.3199,16.36748
577,45.24468,13.93736
578,45.28108,13.94208
579,44.655811,15.720917
580,42.66567,18.10029
581,42.63819,18.14871
582,45.109242,14.648766
583,45.047544,14.683048
584,45.065362,14.139862
585,45.072088,14.13723
586,45.075385,14.131361
587,45.084141,14.139407
588,45.077999,14.132161
589,45.083837,14.143744
590,45.082201,14.141752
591,44.70221,15.03971
592,42.98569,17.17747
593,45.19178,14.240152
594,45.215917,14.243686
595,42.755235,16.883706
596,45.148037,13.612535
597,45.317416,13.608302
598,42.20848,18.92713
599,42.977274,17.130084
600,43.208546,16.561928
601,43.360534,16.727622
602,43.405663,16.283184
603,42.930585,16.787825
604,42.163838,19.001968
605,43.781865,15.646466
606,43.774214,15.62778
607,43.77316,15.65303
608,43.771874,15.63609
609,43.772972,15.662387
610,43.794669,15.64326
611,44.886684,13.965078
612,42.6681,18.11064
613,42.66679,18.08587
614,42.963505,16.014468
615,43.689567,15.851933
616,43.69195,15.850283
617,43.6882,15.853667
618,43.69245,15.838833
619,42.737452,17.878239
620,45.06315,14.144179
621,45.077643,14.148892
622,45.076174,14.15086
623,45.065232,14.151495
624,45.07302,14.13087
625,45.091296,14.132617
626,45.08999,14.133767
627,42.75689,16.88427
628,45.139579,13.686302
629,44.835114,13.878957
630,44.832073,13.905084
631,44.826465,13.89617
632,44.832079,13.905089
633,44.831299,13.902967
634,44.833384,13.920323
635,44.815772,13.967372
636,44.837672,13.887434
637,45.049623,14.154634
638,45.142848,14.172081
639,45.068451,14.144991
640,45.058133,14.157319
641,45.102202,14.662218
642,45.101632,14.660388
643,43.776441,15.644952
644,44.58283,14.422062
645,44.831358,13.906114
646,45.830013,15.600434
647,44.819275,15.067435
648,45.402768,14.863122
649,45.42452,14.928322
650,43.98537,15.712978
651,44.120337,15.423795
652,45.37275,14.670636
653,45.458965,14.550449
654,45.066214,14.667499
655,45.06682,14.66708
656,45.066677,14.666778
657,45.359359,14.644133
658,45.498889,13.998333
659,45.239892,18.004923
660,45.245228,18.003385
661,45.263027,18.021928
662,45.387548,17.978135
663,50.042222,14.375833
664,50.768889,15.543056
665,49.968333,13.941111
666,50.143333,13.833333
667,50.771111,15.535556
668,50.759167,15.534722
669,50.757222,15.535
670,50.759444,15.539444
