"loc","FDiv","FEve","FDis","Q","sp_rich","Latitude","Longitude"
1408,0.808836870145675,0.806585440389352,2.93007067892565,3.30253884999572,1.51390253254012,41.716784,12.331691
1409,0.901717091519049,0.595554706898992,2.42565798983019,2.69348936422676,1.30325422496947,41.716101,12.329353
1410,0.900803609666173,0.768079139723584,3.52261134837592,4.15095236184321,1.95958916901994,39.318687,16.111865
1411,0.86969634999703,0.686522002522205,3.7791236748742,4.47389228884523,1.99894336389518,38.239009,16.046491
1412,0.89067310667077,0.616247801074423,2.27000856051527,2.45599740825214,1.20982876287574,42.626136,11.087586
1413,0.735882835628367,0.669686634753765,3.04079635562411,3.99162305081645,2.45670746999321,43.150005,11.257968
1414,0.560414183008017,0.583330447750851,0.751095200288009,0.911848333907685,1.05936509056873,57.4308,25.3316
1415,0.858574029900805,0.573028657178145,1.59679047776369,2.03174222663473,1.60555201241945,57.1909,25.6887
1416,0.569387507768355,0.520283247789572,1.33987753858584,1.78869647699487,1.79425050138645,57.4078,25.6803
1417,0.908095088496347,0.600258195355059,2.54521986401881,3.14783967207754,1.9129861660004,57.2044,25.6557
1418,0.872660065672516,0.593882855004328,2.79257621021505,3.5186718205315,1.96665326543494,57.2148,25.6806
1419,0.610672347907532,0.656082152525828,1.21833719650407,1.38081470557099,1.08575989257321,57.24,23.1604
1420,0.759542950872583,0.600093727156799,1.97590083378563,2.4349126284519,1.43377252625371,57.2418,23.1636
1421,0.493209797170493,0.515457481901225,1.49419580505793,2.02401305554586,1.98496030230036,57.2415,23.1623
1422,0.910463024129422,0.423431129883224,3.86398422948868,5.01930660877793,2.38260647849641,57.1332,25.5835
1423,0.858355300357311,0.54631354974578,2.82888913754192,3.71763232859481,2.02561201837729,57.1332,25.5839
1424,0.808166546155749,0.406935857785318,2.93180744395388,3.31073347676767,1.33180821960893,57.1347,25.5828
1425,0.919701335184692,0.5212847649612,3.83075435381865,4.85311940467512,1.89814766048808,57.1345,25.5805
1426,0.817924224519423,0.483651654039197,3.07871540717113,4.14054583149299,1.58367845942904,57.1352,25.5804
1427,0.810573459707538,0.532138552376915,2.88983151837216,3.71009574240886,1.67003731027278,57.1361,25.5772
1428,0.606004811752015,0.577072624985004,2.59121846816279,3.45426943083105,2.27854215452279,57.1344,25.584
1429,0.878900416440364,0.536738994020267,2.51371221432632,3.2756612477024,2.13110543054907,57.1359,25.584
1430,0.708968605231624,0.596653852515633,2.07877871493103,2.92338908122698,1.94020435446021,57.1361,25.586
1431,0.457338236243474,0.356166662172358,1.59824554689777,2.2480131328562,2.28462655318555,57.1389,25.578
1432,0.775121291718642,0.506914879715453,2.58091812613991,3.16278692105801,1.9438833412944,57.131,25.575
1433,0.755589580261413,0.588041802966324,2.74298165714856,3.48851634132993,2.6249444156621,57.134,25.5716
1434,0.974282104886047,0.712978111538602,1.61335958782699,1.80076149000118,0.842562320703651,57.1348,25.5722
1435,0.733931087348661,0.380221575662885,3.31919728704936,4.07111356591954,1.90860498604672,57.1281,25.5747
1436,0.688721580589622,0.602522381992977,2.65433315650943,3.36254372889196,2.06431132462909,57.1331,25.5729
1437,0.814680662715932,0.590729067129668,2.67623512684285,3.41359228359117,2.76794314502813,57.1306,25.5678
1438,0.794759475821604,0.569001991059179,3.76393890187219,4.49743026705297,1.7866436264469,57.1363,25.5773
1439,0.848090095638622,0.517383610732743,3.60379939356799,4.4418674831361,2.12221110563774,57.1325,25.5856
1440,0.752029181968611,0.651762019065439,2.75884786403773,3.48831434908052,2.69574392246931,55.615667,25.550556
1441,0.76174754389568,0.642702773412846,3.27065133541304,4.23147851707432,2.41969049254544,54.752556,25.256778
1442,0.699420776437015,0.670778486941468,1.87318541183418,2.59541885081793,2.53065655926708,54.024222,24.296306
1443,0.691530217473263,0.701194581304586,2.73655275286962,3.76196464223453,2.90927975385831,55.02925,25.632639
1444,0.760012819592881,0.652338048178264,2.82894941241843,3.73508671012743,2.80042216503296,55.358861,26.439111
1445,0.753809223292562,0.733824691261743,2.60426112501468,3.45164113353727,2.58704613722969,55.253833,25.74475
1446,0.7185076750321,0.579502477716721,2.29533405926147,3.0440127297933,2.38972949979565,55.790806,25.8825
1447,0.691330597496053,0.832010239055057,2.13262939958493,2.95394750231705,3.3883483617316,41.619242,22.013764
1448,0.779775512472438,0.833962361471933,2.41158930822448,3.28822843479165,3.48573457984743,41.53225,22.092567
1449,0.762835900971865,0.847053908597626,2.41992027646483,3.36379633089477,3.63010844440108,41.531019,22.092875
1450,0.753818762255624,0.839525765129151,2.49447852178794,3.40324927887095,3.30653433311335,41.529072,22.09245
1451,0.762412737707693,0.841015371647631,2.70417466532894,3.71936640318939,3.70630498645123,41.780556,22.009617
1452,0.675587966731242,0.552665774496885,2.91879333630419,3.96725596416822,2.89187415861949,51.941158,6.696112
1453,0.557380686818422,0.745633593577808,1.71958848390823,2.42187212501007,2.52559736107693,52.510066,6.43305
1454,0.762312714174236,0.617394624164066,2.64091416040758,3.43280971819364,2.45629968934737,52.674327,6.096888
1455,0.59468393786396,0.542632511972906,2.62995220371409,3.30294577138427,1.77446548645124,52.403868,4.549602
1456,0.536305992639645,0.612788977154095,1.7591125514508,2.46167867241059,2.99215714082122,52.638204,4.648559
1457,0.765642955729426,0.775286472552739,2.35932443691473,3.17367001258764,3.19130141376915,51.957074,5.678164
1458,0.512695654527077,0.649981937882135,1.32471091142922,1.87531263845566,2.4363189027984,51.400141,5.430311
1459,0.863274472739047,0.715242434667785,3.44025399541854,4.16340612934885,2.27921660443486,50.850995,5.827384
1460,0.84291185131694,0.529983044675174,3.17285173370086,3.93329566470457,2.49986463583876,50.788368,5.741707
1461,0.711176966222603,0.634428425335955,2.18881918039845,2.65771171368267,1.80060206263203,51.561901,5.48815
1462,0.684443474887613,0.422735337014975,2.55197147005792,3.19463768263288,1.98185405663482,51.479327,6.02059
1463,0.771849005395962,0.715360407515982,3.06187518399303,3.78781121586893,2.4697847781898,52.52205,6.006032
1464,0.678872338248283,0.656376649151662,2.69376518692026,3.25864963490567,2.00692828941007,52.52205,6.006032
1465,0.719284284170313,0.719469278967798,2.44177585679084,3.2294873519673,2.62367923383284,51.875376,5.909984
1466,0.858027078904193,0.693974036387428,2.7362926797097,3.18745542634304,2.25101630798006,50.796894,5.86942
1467,0.682720504361724,0.620667757159473,3.01360184669787,3.54427520340642,2.04592942081298,50.787964,5.855147
1468,0.406884570538259,0.444374143593129,2.29636609318025,3.09066679747047,1.44598306496972,52.074258,5.314272
1469,0.809482518075201,0.656299845450006,3.4910417703921,4.36099665481703,2.45491348890908,50.976345,5.942485
1470,0.836735261743283,0.69635850493941,2.31864565196647,2.95622892326481,1.98176902394548,52.217725,5.094541
1471,0.747631070511046,0.684476326329294,2.61827846518182,3.1796174295303,1.6778543078362,52.253676,5.094305
1472,0.555489625132522,0.617069909923577,1.31232829375502,1.74637088084673,1.66085140599059,52.188483,4.597523
1473,0.847237026461884,0.769054828957653,3.35836726700097,4.25403463790311,2.44292616974411,51.550588,3.757911
1474,0.682547345150052,0.55197109065201,1.8232084883401,2.2781553894631,1.41338307628819,51.399999,5.574011
1475,0.605965600108162,0.545100051018375,1.73196666810797,2.19313182742401,1.47843685033714,52.468622,4.872139
1476,0.832654704395398,0.546668473662727,2.44139683611003,3.0600195892244,1.73512645696292,52.468622,4.872139
1477,0.691161954460647,0.683263038907001,2.83340327388062,3.63937151102716,1.19461303860408,52.576195,4.811874
1478,0.641347143399709,0.684913986197493,1.91373965658661,2.62645095258915,2.56298451950851,53.23529,6.1448
1479,0.960299771171463,0.553328070180215,0.918670051978448,0.966740185160009,0.444787488059935,52.244687,5.680043
1480,0.821577671541561,0.663202616325235,3.36757949798142,4.01603949868714,2.04724367236746,52.312716,4.547802
1481,0.6624299465408,0.826562175754176,2.34453894620784,3.15207350705553,1.85627012819209,52.780492,6.58698
1482,0.73119460693124,0.671165283112398,2.45115127163521,3.12077424032355,1.98346635666631,52.182078,5.504174
1483,0.670978443296411,0.581509151593283,3.09876560240803,3.60702341739591,1.31618944639062,52.03483,6.06822
1484,0.76014152820681,0.776719934065944,2.3697425678854,3.15514064665597,2.882523139815,51.988183,6.493651
1485,0.679125029522633,0.777401146766793,1.93297151152293,2.61045547732842,2.50732289798903,51.986899,6.664688
1486,0.794965321670856,0.565298300176618,3.16899632700862,4.16072602120173,2.47365307169948,52.096559,6.437955
1487,0.773032025260827,0.608778655305341,2.20210163456607,2.71786628338534,1.71933916020659,52.116959,6.117216
1488,0.664043025652033,0.692734796215368,1.97243869368863,2.63651687397693,2.06702436348531,51.804986,5.05967
1489,0.71509260278818,0.63238258501735,3.12268111605967,4.18702465835967,1.43169868927382,52.037665,5.855766
1490,0.770795010071663,0.523401025580738,2.76049381111944,3.71461043981122,2.43162294144846,50.88307,5.781793
1491,0.875347211252758,0.526797840941804,4.68603063767929,5.8434483818268,2.09354282155184,50.812595,5.973156
1492,0.667588955122791,0.746942491195375,1.60425812555849,2.21390841711274,1.81173375515271,51.795828,4.540767
1493,0.68706503658331,0.629851793193455,1.61991453553676,2.00279045093248,1.41982305398488,51.729282,4.5879
1494,0.54984808679463,0.605048687492425,1.55296354285676,2.10636737438822,2.27907623593902,51.998042,4.686358
1495,0.694884750974084,0.72864192099871,2.62048327347477,3.33903103046926,2.8547770491277,51.961615,4.939221
1496,0.808042329286116,0.520973329881714,1.72837805967701,2.20426973566303,1.87385009048822,51.920265,4.667074
1497,0.766041752439566,0.462916433792139,1.0120628359412,1.28907156840531,1.42918066812146,51.972153,4.685889
1498,0.622912865831143,0.343212367336954,1.57729103775072,2.09033440732774,2.10955475596131,51.949092,5.007565
1499,0.747004985628742,0.59209767043391,2.07527384388731,2.71623337196147,2.58850349806763,51.930111,5.096415
1500,0.708983176254365,0.568125748360989,1.48912183586428,1.98569057201768,2.13395210363516,52.126762,4.803067
1501,0.730052852496469,0.628351765555963,1.60386111952789,2.10405289137041,2.35562584283056,51.84558,4.29558
1502,0.561809414088603,0.708243785912698,1.81708732960596,2.5212625074227,2.665360252816,52.410467,5.787103
1503,0.608154053934356,0.632390659722003,1.86327268323581,2.65091737134105,3.2561852788429,52.057428,5.565233
1504,0.793654522801688,0.719312000430232,3.71458659204481,4.70083036909348,2.18700401363152,51.83394,5.589883
1505,0.601015791552856,0.203251348534488,0.739703364668565,0.957348317881306,1.05472091690681,53.421978,5.657954
1506,0.821480255363719,0.648178824613331,2.9370842600967,3.52779466783585,1.45298360427441,53.005796,6.604586
1507,0.803854098829757,0.475428061871669,0.91050066765088,1.05119815252773,1.02378427711577,51.424031,4.538907
1508,0.699548993249362,0.712422981208508,3.61507597714988,4.58953358584391,2.71856313134908,50.778666,5.925941
1509,0.957134339821572,0.954399851259544,1.7224224135685,1.9887567389184,1.09861228866811,51.8318,3.950887
1510,0.651480019962905,0.564678795854405,4.59438075919897,5.36660109210313,1.48057136697806,52.25241,4.916732
1511,0.889264531580549,0.62856621064171,3.08406947375981,3.92418810766218,2.33240056587619,52.416381,4.591641
1512,0.677774051825308,0.650008575546117,1.86718400868058,2.56454380119119,2.22102298502569,52.145354,4.74833
1513,0.719620100908685,0.570706606331856,2.77134059787386,3.51740069580222,1.92945857374457,52.070922,4.816631
1514,0.632525043334299,0.67927957661807,1.75581529727031,2.38409578267507,2.72732141203123,51.893417,4.878739
1515,0.633001744863313,0.756233602712402,1.68918637113212,2.22617829178998,2.20301276035936,51.771396,4.352434
1516,0.825077635613736,0.71290950129648,4.90503174430078,6.02285896417336,2.69875605743739,52.125402,4.418869
1517,0.856950484676322,0.74503767351048,2.60283080371835,3.23660009341412,2.25396572245002,51.871413,5.891206
1518,0.706248906910706,0.749232445939941,2.45371832370048,3.25190620822142,3.16839290305373,51.919324,4.674939
1519,0.663658418068257,0.749994150373165,2.22676436003245,3.05966164003635,3.08067126431304,51.919897,4.776685
1520,0.751174325509585,0.727625067907866,2.1066069003095,2.81669032827039,3.17623620818544,51.980874,5.454887
1521,0.802811409545423,0.579829945082736,2.31969302355625,2.87710595175366,1.65041864171809,52.031255,6.021009
1522,0.675588743686935,0.671328938098716,2.14197949069857,2.84771255987507,2.47672580477546,51.875519,5.423564
1523,0.956194883866422,0.432051334906108,0.859414626731503,1.01879459818531,0.867285321353888,52.289189,5.682432
1524,0.700749221911639,0.73063685104181,2.4022566036552,3.25378675833214,3.04436325588106,51.920997,6.649933
1525,0.82803885575249,0.769344521880127,2.16681327761061,2.81678902260781,2.42294786489303,51.8095,5.124686
1526,0.645064191189982,0.651920020686022,3.90405208031312,5.28040168557206,2.44507170461564,51.804695,5.898855
1527,0.780977809260982,0.545169004315083,3.0950965344181,3.97868333239222,1.77737999820311,52.36357,5.829902
1528,0.832841442316537,0.574138793330374,2.20567548412362,2.71860852318489,1.79210621148675,52.41655,6.462622
1529,0.924847352030454,0.492692549654869,3.8257395060197,4.55837630257551,1.56064644725131,51.710608,4.797505
1530,0.586026896054722,0.635793880383147,1.56307782947628,2.22026584105806,2.42866837481927,52.11791,4.351719
1531,0.811515605633857,0.595344771162024,4.01198266128823,5.3032397240723,2.48909112513372,52.144961,4.371838
1532,0.654030035912952,0.620419609588363,1.09025775462838,1.38379173296809,1.2274307140855,52.145356,4.429832
1533,0.827433007188731,0.671410600856312,1.61772898008199,1.93324346781897,1.31242754622721,51.774481,4.452199
1534,0.645412143871533,0.595204225608853,1.39407382656604,1.69763232120796,1.22543551617372,51.762974,4.48648
1535,0.609339346209865,0.507311370802019,1.21952893141745,1.5559891063712,1.7178633534757,52.119742,4.475646
1536,0.804609471754328,0.75663013559981,2.62070458385275,3.36406488083175,2.85284373050458,51.844036,4.519979
1537,0.576616695979326,0.714121313457446,1.61478698600099,2.06443854273989,1.6171557793033,52.147482,4.543459
1538,0.66790255418146,0.688611953109911,1.62574933562167,2.14167844469149,2.31087371151117,52.206479,4.548194
1539,0.710735273739673,0.656262257910747,2.26920660072582,2.96593405236972,3.04994838634643,51.940948,4.675963
1540,0.722289817060568,0.654976192307481,1.69569339663007,2.186286227888,2.06603028702407,51.907648,4.825825
1541,0.747588226877048,0.672383831660587,1.8480936413882,2.24288907132125,2.01975517130013,51.880308,4.925507
1542,0.88327157087556,0.782582355650813,2.74229150568553,3.05277545831082,1.54845349290095,51.95133,4.977871
1543,0.733228938080148,0.626045993897245,2.50903682655765,2.90301197965714,1.68184721721165,51.918275,5.072654
1544,0.834143141794297,0.695512756878168,2.0814091953073,2.6005066830251,1.61706079602706,51.945421,4.679907
1545,0.831252460727888,0.639888052283316,2.40738224161442,2.99503685388845,2.19785738560538,51.997015,4.679821
1546,0.579748968872947,0.688802007515725,1.72519787289448,2.5092761582014,2.5552700153226,51.915169,4.801458
1547,0.653967747267526,0.637160643051131,1.97695009896818,2.65551809360069,2.45830239406915,52.129404,4.792225
1548,0.451712583215381,0.586902404072378,1.39763382765285,1.92875312096927,1.67833131583721,52.144669,4.82577
1549,0.760561394245402,0.554677593393031,2.26585663830652,2.7777934648188,1.93715419742546,51.91643,4.92281
1550,0.629835948092394,0.65565843938698,1.78729444423437,2.44651286415037,2.16431092170917,53.251713,6.565438
1551,0.867170726233836,0.659034545930228,2.86532308199653,3.57089112069134,2.26535985377212,50.819333,5.753679
1552,0.814749066550008,0.676329372238002,2.66828668665619,3.32989238193026,1.91556894080212,52.380147,5.920525
1553,0.82459390848113,0.739659466052244,3.33237887282687,4.18205595004618,2.21243807491251,52.380397,4.546653
1554,0.613693950808774,0.319636407565439,2.1514927525711,2.34401839468407,1.10041069281055,69.616667,25.266667
1555,0.767983736646516,0.522761859925618,2.37288685969156,2.62296083858782,1.2032097386233,69.05,23.2
1556,0.926397455345754,0.0451858461785678,1.66544526219581,1.803146119557,0.864106443523705,70.15,28.133333
1557,0.667421297815335,0.243043885395385,2.12709856895278,2.37278643728553,1.21582805582195,69.083333,20.75
1558,0.573495452044376,0.721974122593216,2.19747624845817,2.42739296336097,1.13536007276673,69.033333,20.9
1559,0.988341552320269,0.3620764988914,2.16333049001069,2.19140081747788,0.760313326970926,68.983333,20.933333
1560,0.692765749139163,0.315523111446221,2.0938150724547,2.40511284581251,1.22712822076434,68.883333,21.166667
1561,0.794035452050823,0.232629744233542,2.03699334601244,2.11956652570658,0.796154336575659,69.908333,27.041667
1562,0.544594681919787,0.211460671005976,2.69990591682429,3.13579821206064,1.20357955068304,68.466667,22.433333
1563,0.826561683956013,0.0655324047723754,2.24925572120671,2.32074952501324,0.900256865243387,69.016667,20.883333
1564,0.840964470321844,0.45102177957608,2.08594901180556,2.16790212340284,0.844620348715624,68.991667,20.916667
1565,0.82058812490558,0.624510932092968,2.10443342374399,2.32331758374106,1.11121683563711,69.291667,27.241667
1566,0.497004210300139,0.169788922527732,2.03993126259921,2.35645087448287,1.29662647933331,69.4,26.4
1567,0.680224199844458,0.71352067962847,2.24096538686084,2.39001639396837,1.06507210135947,69.75,26.991667
1568,0.54074326709002,0.019416995504946,2.15954445473826,2.37445344603993,1.30192915678464,68.45,22.5
1569,0.583225682645717,0.141740702660793,2.01795415321186,2.30747935376222,1.38339728457828,68.683333,21.5
1570,0.587282583168137,0.0742138297709631,2.13003823223195,2.53939249749258,1.42097443972943,68.916667,20.95
1571,0.696067066068206,0.361434190891073,2.41326358165864,2.80548254984118,1.29434173110311,68.4,24.483333
1572,0.814858415572698,0.408232402566024,2.55447294872993,2.99359020505095,1.42078124101826,68.466667,22.466667
1573,0.717611063989588,0.211093833527397,2.2648374756909,2.27715666639006,0.733331975757532,69.516667,25.5
1574,0.658651109478612,0.268419352168718,2.25182970396961,2.29930710791227,0.826380238526244,68.683333,21.516667
1575,0.914257344470276,0.457046874584372,2.10213196736616,2.1914744550779,0.902921583592695,68.6,21.783333
1576,0.665732376175806,0.283471877091589,2.25737951272496,2.46607944749121,1.22425134445464,68.913889,20.930556
1577,0.537446407473249,0.283279894405044,1.9426610371804,2.22880301530137,1.41901500515209,68.925,20.933333
1578,0.626821178003142,0.319498324486468,2.18515387507006,2.69995543686012,1.70301371243246,68.9,20.905556
1579,0.742388516715041,0.669770982698309,2.20121881001264,2.3687703422293,1.10517510415378,69.083333,20.747222
1580,0.624594583764637,0.0103956277689878,2.22681689102858,2.39391355010267,1.06791360832029,69.091667,20.744444
1581,0.755085526510779,0.586680659962289,2.39524355029803,2.80112888407972,1.49311146565552,68.4,23.663889
1582,0.672626057274368,0.53841478423355,2.22241127711097,2.53072942480377,1.4522608559787,68.669444,21.616667
1583,0.7389685824796,0.340207005657513,2.04153624746148,2.19581097064238,1.03583123394983,68.869444,21.166667
1584,0.696153355983597,0.316757294257242,2.1783602553776,2.40233698988944,1.19074156801133,69.413889,26.066667
1585,0.657639982039431,0.32815111521484,2.15581334848728,2.42742451834894,1.24973469463962,68.677778,21.558333
1586,0.737273098031418,0.277269540303912,2.33304972938928,2.64159935448652,1.39785012023343,68.675,21.652778
1587,0.480082550749671,0.516270883590614,1.67119795039717,1.92633728873135,1.10689353031103,69.033333,20.844444
1588,0.659699103718877,0.044848997461559,1.72975403486083,1.98497217611923,1.07395911381868,69.027778,20.844444
1589,0.56515373142335,0.345362369897835,2.14908256175661,2.39297666851143,1.20977507880423,69.052778,20.786111
1590,0.687564927650611,0.0748040038139627,2.24311813202377,2.42408553620615,1.12233410715024,68.588889,21.908333
1591,0.629214414131951,0.117401787814271,2.15652861815086,2.47368375614053,1.46553219798752,69.733333,27.019444
1592,0.562049940920426,0.471192485800908,2.10312796376193,2.38639170967035,1.41119279673721,68.591667,21.791667
1593,0.597519997079849,0.426478304302161,2.24863643865674,2.60459149542437,1.43859723275413,68.630556,21.722222
1594,0.865627683194778,0.158142079253264,3.18452590541243,4.01782076811359,1.43945112749556,69.052778,20.733333
1595,0.659312500942617,0.509080831764636,2.27818059738135,2.68557008466674,1.64186026556447,68.672222,21.625
1596,0.731864644385174,0.360570979025568,2.44502160526313,2.89588243307434,1.5001477701184,68.508333,22.133333
1597,0.919077712837158,0.331531629618541,3.89125799226075,4.95145489017371,1.80325847899935,69.75,27.005556
1598,0.911009604958115,0.524217964289812,2.53425710358213,2.99622306435655,1.38208467328975,68.675,21.583333
1599,0.932750075852387,0.48534208697138,2.77624299612032,3.27115152450101,1.56876429750623,68.683333,21.583333
1600,0.812408373196857,0.476376768751435,3.15348815261345,4.15365188704063,2.17221337592678,69.058333,23.016667
1601,0.618722551134785,0.245563169057498,1.67533359974926,1.82157310133779,0.913444669403475,69.811111,20.9
1602,0.483673246683978,0.353089023250341,1.70153995385215,1.99039984128939,1.01750923512742,69.375,23.483333
1603,0.983274793545964,0.560017694793123,1.55497274389825,1.59028751677374,0.668152008580488,70.6,27.069444
1604,0.566861669767186,0.354807098193345,1.40868063741099,1.6382176401108,1.06831312135854,69.658333,29.391667
1605,0.653843231538018,0.336490456203284,2.12687818145066,2.58780375576865,1.4035746830018,69.794444,23.508333
1606,0.655527453282712,0.482481282091191,2.35583394934874,2.83227869761337,1.69554719827234,69.047222,20.75
1607,0.749541602641041,0.365719448979837,2.17734140477527,2.49220976066788,1.40983150420784,68.894444,21.013889
1608,0.628241897016273,0.36733167913803,2.24709232245046,2.65662587627034,1.59152872848324,69.183333,20.016667
1609,0.618204982381494,0.424881058239204,2.3637136114411,2.89109923060219,1.75872217019349,69.4,26
1610,0.622862097662336,0.155863484776221,2.0198468096955,2.42890084899457,1.48565663189033,69.727778,29.308333
1611,0.711991421143282,0.488366033944227,2.09012922516459,2.37894069344989,1.4188714780851,69.105556,23.308333
1612,0.521910345525211,0.476590752633152,1.30280691243228,1.63445256718709,1.13033171777098,69.213889,20.702778
1613,0.651128219921238,0.20458951518866,2.15854664166587,2.29882528261995,1.09079272073974,69.066667,20.763889
1614,0.704879168606395,0.363149062633867,2.20363201891966,2.39668420457383,1.18048368553741,69.052778,20.786111
1615,0.575737033021771,0.281934316058363,2.11765719225398,2.57846494193153,1.48493677295902,69.188889,20.688889
1616,0.713826902910662,0.286649311995631,2.20178271285651,2.48279716250946,1.23645263256703,69.191667,20.741667
1617,0.570225282066206,0.25238178872455,1.78947200302821,1.9500253753258,0.958430047804329,70.438889,28.063889
1618,0.60399315437091,0.0848890094784291,1.69549218698253,1.72760339665189,0.645475377049107,70.452778,27.002778
1619,0.602641568854157,0.469253152728996,1.0131344533696,1.2532948489663,0.826346511156102,69.719444,29.238889
1620,0.565695351195458,0.260651898934491,2.01451250873951,2.03489480541439,0.688214806903943,69.208333,19.547222
1621,0.642900639970348,0.28878299709484,2.16284111193357,2.36390665917411,1.09847461553976,68.991667,20.855556
1622,0.787342847234847,0.267423179010015,2.37893408710129,2.67365777620438,1.32678646377171,68.697222,21.580556
1623,0.701686133179791,0.717520310685777,2.13317573278282,2.47880744953692,1.12328762858068,70.455556,24.258333
1624,0.752364978272061,0.33553615534646,2.76566120995503,3.26138851653654,1.35410719951544,69.175,20.013889
1625,0.588139542189822,0.291210237485056,2.28526953308083,2.85258562325794,1.67992071200737,69.516667,29.980556
1626,0.932340296709076,0.545696276750031,3.5886156714499,4.36632452052089,1.45792602712759,69.230556,19.844444
1627,0.878624694387517,0.409323705096686,4.09402480779315,5.00122504349568,1.57374146422347,70.486111,27.072222
1628,0.881535008950014,0.733601914429638,3.89278151755935,4.76852030532119,1.7683268790339,69.1,19.7
1629,0.766941126865239,0.626243694090236,2.97708058721161,3.62934782946293,1.28652172635002,69.816667,21
1630,0.810360590390558,0.536399967356138,4.21859907894438,5.30847485946556,1.86161618208615,70.344444,25.666667
1631,0.872322370581499,0.558067151830184,3.54452263020964,4.4680408622254,1.86576997401266,69.705556,29.325
1632,0.725234064362678,0.499357376843513,2.50105636286088,3.04180699071626,1.78186509535922,69.033333,20.847222
1633,0.904442185396318,0.51670507787879,3.56147410830342,4.40266970888295,1.88780414626703,69.205556,19.577778
